Lat,Lon,Anisotropie,Unnamed: 3
75.9,-35.027,0.20667,
75.899,-35.022,0.20334000000000002,
75.899,-35.018,0.20387,
75.898,-35.013000000000005,0.20365999999999998,
75.89699999999999,-35.008,0.20221,
75.896,-35.004,0.20096,
75.895,-34.999,0.19541,
75.89399999999999,-34.994,0.19291,
75.893,-34.989000000000004,0.18933,
75.893,-34.985,0.19007000000000002,
75.892,-34.98,0.19369,
75.891,-34.975,0.19610999999999998,
75.89,-34.97,0.19730999999999999,
75.889,-34.966,0.1955,
75.888,-34.961,0.19097999999999998,
75.888,-34.955999999999996,0.19158,
75.887,-34.951,0.19037,
75.88600000000001,-34.946,0.19437000000000001,
75.885,-34.942,0.20075,
75.884,-34.937,0.20192000000000002,
75.883,-34.931999999999995,0.20046,
75.883,-34.927,0.19872,
75.882,-34.923,0.19872,
75.881,-34.918,0.19872,
75.88,-34.913000000000004,0.19730999999999999,
75.87899999999999,-34.908,0.19701,
75.878,-34.903,0.19641,
75.878,-34.899,0.18977,
75.877,-34.894,0.19225,
75.876,-34.889,0.19028,
75.875,-34.884,0.18875999999999998,
75.874,-34.88,0.18766,
75.873,-34.875,0.1874,
75.872,-34.87,0.18725,
75.872,-34.865,0.18584,
75.87100000000001,-34.861,0.18695,
75.87,-34.856,0.1871,
75.869,-34.851,0.18619000000000002,
75.868,-34.846,0.18574000000000002,
75.867,-34.842,0.18589,
75.867,-34.836999999999996,0.1868,
75.866,-34.832,0.18755,
75.865,-34.827,0.18875999999999998,
75.86399999999999,-34.821999999999996,0.18937,
75.863,-34.818000000000005,0.1895,
75.862,-34.813,0.19108,
75.862,-34.808,0.19147,
75.861,-34.803000000000004,0.19147,
75.86,-34.798,0.19621,
75.859,-34.794000000000004,0.20063,
75.858,-34.789,0.20292000000000002,
75.857,-34.784,0.20335,
75.85600000000001,-34.78,0.20636,
75.85600000000001,-34.775,0.21463000000000002,
75.855,-34.77,0.22289,
75.854,-34.766,0.23446,
75.85300000000001,-34.760999999999996,0.2547,
75.852,-34.756,0.2547,
75.851,-34.751,0.2419,
75.851,-34.747,0.23074,
75.85,-34.742,0.22248,
75.84899999999999,-34.736999999999995,0.21131999999999998,
75.848,-34.732,0.19602999999999998,
75.847,-34.728,0.19007000000000002,
75.846,-34.723,0.18694000000000002,
75.845,-34.718,0.18494000000000002,
75.845,-34.713,0.18222,
75.844,-34.709,0.18705,
75.843,-34.704,0.18855999999999998,
75.842,-34.699,0.19912,
75.84100000000001,-34.694,0.0,
75.84,-34.69,0.0,
75.84,-34.685,0.0,
75.839,-34.68,0.0,
75.83800000000001,-34.675,0.0,
75.837,-34.671,0.0,
75.836,-34.666,0.0,
75.835,-34.661,0.0,
75.835,-34.656,0.0,
75.834,-34.652,0.0,
75.833,-34.647,0.0,
75.832,-34.641999999999996,0.0,
75.831,-34.638000000000005,0.0,
75.83,-34.633,0.0,
75.829,-34.628,0.0,
75.828,-34.624,0.0,
75.828,-34.619,0.0,
75.827,-34.614000000000004,0.0,
75.82600000000001,-34.609,0.0,
75.825,-34.605,0.0,
75.824,-34.6,0.0,
75.82300000000001,-34.595,0.0,
75.82300000000001,-34.59,0.0,
75.822,-34.586,0.0,
75.821,-34.580999999999996,0.0,
75.82,-34.576,0.0,
75.819,-34.571,0.0,
75.818,-34.567,0.0,
75.818,-34.562,0.0,
75.817,-34.556999999999995,0.0,
75.816,-34.552,0.0,
75.815,-34.548,0.0,
75.814,-34.543,0.0,
75.813,-34.538000000000004,0.0,
75.813,-34.533,0.0,
75.812,-34.529,0.0,
75.811,-34.524,0.0,
75.81,-34.519,0.0,
75.809,-34.514,0.0,
75.808,-34.51,0.0,
75.807,-34.505,0.0,
75.807,-34.5,0.0,
75.806,-34.496,0.0,
75.805,-34.491,0.0,
75.804,-34.486,0.0,
75.803,-34.481,0.0,
75.80199999999999,-34.477,0.0,
75.801,-34.472,0.0,
75.801,-34.467,0.0,
75.8,-34.463,0.0,
75.79899999999999,-34.458,0.0,
75.798,-34.453,0.0,
75.797,-34.449,0.0,
75.796,-34.444,0.0,
75.795,-34.439,0.0,
75.795,-34.434,0.0,
75.794,-34.43,0.0,
75.793,-34.425,0.0,
75.792,-34.42,0.0,
75.791,-34.416,0.0,
75.79,-34.411,0.0,
75.79,-34.406,0.0,
75.789,-34.400999999999996,0.0,
75.788,-34.397,0.4122,
75.78699999999999,-34.391999999999996,0.0,
75.786,-34.387,0.0,
75.785,-34.383,0.0,
75.78399999999999,-34.378,0.32588,
75.78399999999999,-34.373000000000005,0.30848000000000003,
75.783,-34.368,0.28794000000000003,
75.782,-34.364000000000004,0.27458,
75.781,-34.359,0.26033,
75.78,-34.354,0.24527,
75.779,-34.349000000000004,0.22854000000000002,
75.779,-34.345,0.21681999999999998,
75.778,-34.34,0.20009000000000002,
75.777,-34.335,0.18921,
75.77600000000001,-34.33,0.17248,
75.775,-34.326,0.13734000000000002,
75.774,-34.321,0.12646,
75.773,-34.316,0.0,
75.773,-34.312,0.33655,
75.77199999999999,-34.306999999999995,0.33015,
75.771,-34.303000000000004,0.32985,
75.77,-34.298,0.32421,
75.76899999999999,-34.293,0.32141,
75.768,-34.289,0.32015,
75.767,-34.284,0.31653000000000003,
75.766,-34.28,0.3097,
75.766,-34.275,0.29721,
75.765,-34.27,0.2791,
75.764,-34.265,0.28212,
75.763,-34.260999999999996,0.27483,
75.762,-34.256,0.26155,
75.76100000000001,-34.251,0.26155,
75.76100000000001,-34.246,0.2436,
75.76,-34.242,0.2369,
75.759,-34.236999999999995,0.22685999999999998,
75.758,-34.232,0.20808000000000001,
75.757,-34.227,0.18744,
75.756,-34.223,0.15666,
75.756,-34.218,0.1615,
75.755,-34.213,0.16712,
75.75399999999999,-34.209,0.16963,
75.753,-34.204,0.17118,
75.752,-34.199,0.16925,
75.751,-34.194,0.0,
75.75,-34.19,0.21836,
75.75,-34.185,0.22104000000000001,
75.749,-34.181,0.21996999999999997,
75.748,-34.176,0.22130999999999998,
75.747,-34.171,0.22238000000000002,
75.74600000000001,-34.167,0.22024000000000002,
75.745,-34.162,0.22050999999999998,
75.744,-34.158,0.21965,
75.743,-34.153,0.22078000000000003,
75.742,-34.149,0.21965,
75.742,-34.144,0.22078000000000003,
75.741,-34.139,0.22448,
75.74,-34.135,0.22478,
75.73899999999999,-34.13,0.22960999999999998,
75.738,-34.125,0.23776,
75.737,-34.12,0.24138,
75.737,-34.116,0.24831999999999999,
75.736,-34.111,0.24861999999999998,
75.735,-34.107,0.24831999999999999,
75.734,-34.103,0.0,
75.733,-34.099000000000004,0.0,
75.73100000000001,-34.096,0.0,
75.73,-34.093,0.0,
75.729,-34.091,0.0,
75.727,-34.089,0.0,
75.726,-34.088,0.0,
75.725,-34.086999999999996,0.0,
75.723,-34.086,0.0,
75.722,-34.085,0.0,
75.72,-34.084,0.0,
75.719,-34.083,0.0,
75.717,-34.082,0.0,
75.71600000000001,-34.080999999999996,0.0,
75.715,-34.08,0.0,
75.71300000000001,-34.079,0.0,
75.712,-34.078,0.0,
75.71,-34.077,0.0,
75.709,-34.076,0.0,
75.708,-34.075,0.0,
75.706,-34.074,0.0,
75.705,-34.073,0.0,
75.703,-34.071999999999996,0.0,
75.702,-34.071,0.0,
75.70100000000001,-34.07,0.0,
75.699,-34.069,0.0,
75.69800000000001,-34.068000000000005,0.0,
75.696,-34.067,0.0,
75.695,-34.066,0.0,
75.693,-34.065,0.0,
75.692,-34.064,0.0,
75.691,-34.063,0.0,
75.689,-34.062,0.0,
75.688,-34.061,0.0,
75.686,-34.06,0.0,
75.685,-34.059,0.0,
75.684,-34.058,0.0,
75.682,-34.056999999999995,0.0,
75.681,-34.056,0.0,
75.679,-34.055,0.0,
75.678,-34.054,0.0,
75.676,-34.053000000000004,0.0,
75.675,-34.052,0.0,
75.67399999999999,-34.05,0.0,
75.672,-34.049,0.0,
75.671,-34.048,0.0,
75.669,-34.047,0.0,
75.668,-34.046,0.0,
75.667,-34.045,0.0,
75.665,-34.044000000000004,0.0,
75.664,-34.042,0.0,
75.66199999999999,-34.041,0.0,
75.661,-34.04,0.0,
75.66,-34.04,0.0,
75.658,-34.04,0.0,
75.657,-34.041,0.0,
75.655,-34.042,0.0,
75.654,-34.044000000000004,0.0,
75.653,-34.047,0.0,
75.665,-36.931999999999995,0.0,
75.665,-36.925,0.0,
75.664,-36.919000000000004,0.0,
75.663,-36.913000000000004,0.0,
75.66199999999999,-36.907,0.0,
75.661,-36.902,0.0,
75.65899999999999,-36.897,0.0,
75.658,-36.891999999999996,0.0,
75.657,-36.885999999999996,0.0,
75.656,-36.881,0.0,
75.655,-36.876999999999995,0.0,
75.653,-36.872,0.0,
75.652,-36.867,0.0,
75.65100000000001,-36.861999999999995,0.0,
75.649,-36.857,0.0,
75.648,-36.852,0.0,
75.64699999999999,-36.846,0.19218,
75.646,-36.841,0.16177,
75.645,-36.835,0.15993,
75.64399999999999,-36.829,0.15822999999999998,
75.643,-36.821999999999996,0.15821,
75.643,-36.816,0.15592,
75.642,-36.81,0.15587,
75.641,-36.803000000000004,0.15269000000000002,
75.64,-36.797,0.15057,
75.639,-36.791,0.1493,
75.639,-36.785,0.1437,
75.638,-36.778,0.13512000000000002,
75.637,-36.772,0.12269000000000001,
75.63600000000001,-36.765,0.12007999999999999,
75.63600000000001,-36.759,0.12212999999999999,
75.635,-36.753,0.12511,
75.634,-36.746,0.12957,
75.633,-36.74,0.13785999999999998,
75.633,-36.734,0.14690999999999999,
75.632,-36.727,0.15095999999999998,
75.631,-36.721,0.15619,
75.63,-36.715,0.15972,
75.62899999999999,-36.709,0.16568,
75.628,-36.703,0.17015,
75.627,-36.696999999999996,0.17927,
75.626,-36.691,0.18217,
75.625,-36.686,0.19324000000000002,
75.624,-36.68,0.19818,
75.623,-36.675,0.20969000000000002,
75.622,-36.67,0.21995,
75.62100000000001,-36.664,0.23659000000000002,
75.62,-36.658,0.24978000000000003,
75.619,-36.652,0.26538,
75.618,-36.646,0.27360999999999996,
